,0
Gh Induction India Private Limited,3100000
Jai Beverages Private Limited,3100000
Mysore Polymers And Rubber Products Limited,3100000
Cotiviti India Private Limited,3100000
Atibir Industries Company Limited,3100000
Dfm Foods Limited,3100000
Albert David Ltd,3100000
Vanaz Engineers Limited,3100000
Jolly Board Limited,3100000
Mangalore Electricity Supply Company Limited,3100000
Premier Spg And Wvg Mills Private Limited,3100000
Birdie Investments (Madras) Private Limited,3100000
Black & Veatch Private Limited,3000000
Iffco-Tokio General Insurance Company Limited,3000000
Sbi Cards And Payment Services Private Limited.,3000000
Inland Power Limited,3000000
Rambagh Palace Hotel Private Limited,3000000
Jbm Industries Limited,3000000
O E N India Ltd,3000000
Ani Media Private Limited,3000000
Easun - Mr Tapchangers Private Limited,3000000
K P Sanghvi International Private Limited,3000000
Gera Developments Private Limited,3000000
Kotak Mahindra Investments Limited,3000000
Marvell India Private Limited,3000000
A K Capital Services Limited,3000000
Arvindbhai Bechardas Jewellers Private Limited,3000000
Sil Investments Limited,3000000
Kkr India Financial Services Private Limited,3000000
Sml Films Limited,3000000
Irep Credit Capital Private Limited,3000000
Monte Carlo Fashions Limited,3000000
H C Commercial Ltd,3000000
C M Jain Impex And Investments Private Limited,3000000
Ram Kripal Singh Construction Private Limited,3000000
Shyam Ferro Alloys Ltd.,3000000
Hdfc Investments Limited,3000000
Arjuna Natural Extracts Ltd,2900000
Manish Packaging Private Limited,2900000
Bmd Private Limited,2900000
Madhav Alloys Private Limited,2900000
Tablets (India) Ltd,2900000
Ceinsys Tech Limited,2900000
Avon Ispat & Power Limited,2900000
Divya Jewellers Private Limited,2900000
Williams Lea India Private Limited,2900000
Rieter India Private Limited,2900000
G.M. Pens International Private Limited,2900000
Aska Equipments Limited (Transfered From  Maharashtra),2900000
Eye Foundation Limited,2900000
Take Solutions Limited,2900000
Bhavya Cements Limited,2900000
Omega Renk Bearings Private Limited,2900000
Makson Health Care Private Limited,2900000
Amaravathi Textiles Pvt Ltd,2900000
Vectus Industries Limited,2900000
Kriti Industries (India)Limited,2900000
Sri Dhanalakshmi Cotton And Rice Mills Private Limited,2900000
Ykk India Private Limited,2800000
Prasad Koch Technik Private Limited,2800000
Gilbarco Veeder Root India Private Limited,2800000
Sula Vineyards Private Limited,2800000
Sri Ranganathar Industries Private Limited,2800000
Goodluck India Limited,2800000
V-Mart Retail Limited,2800000
Nova Carbons India Private Limited,2800000
Fairchem Speciality Limited,2800000
Hughes Communications India Limited,2800000
Cims Hospital Private Limited,2800000
Tvs Logistics Services Limited,2800000
P.D.Agrawal Infrastructure Limited,2800000
Bharat Containers (Nagpur) Pvt Ltd,2800000
Standard Chartered Private Equity Advisory (India) Private Limited,2800000
Mitcon Consultancy & Engineering Services Limited,2800000
Spencer International Hotels Limited,2800000
Dhfl Pramerica Life Insurance Company Limited,2800000
Saraswati Commercial (India) Ltd,2700000
Kpmg Resource Centre Private Limited,2700000
Alco Company Private Limited,2700000
Pilani Investment And Industries Corporation Limited,2700000
Raheja Qbe General Insurance Company Limited,2700000
Railtech Infraventure Private Limited,2700000
Iqor India Services Private Limited,2700000
Gharda Chemicals Limited,2700000
Asirvad Micro Finance Limited,2700000
Globe Cotyarn Private Limited,2700000
Brindavan Agro Industries Private Limited Trs From Up To Delhi,2700000
Polyhydron Private Limited,2700000
Mepco Industries Limited,2700000
Pn Memorial Neuro Centre & Research Institute Limited,2700000
The Nainital Bank Limited,2700000
Kikani Exports Private Limited,2700000
Nutron Pharmaceuticals Private Limited,2700000
Macquarie Capital Securities (India) Private Limited,2700000
Maben Nidhi Limited,2700000
Harsh Constructions Private Limited,2700000
Lea Associates South Asia Private Limited,2700000
Rolex Rings Private Limited,2700000
Annapurna Microfinance Private Limited,2700000
Bic-Cello Exports Private Limited,2600000
Agarwal Fuel Corporation Private Limited,2600000
Emkay Taps And Cutting Tools Limited,2600000
Pee Vee Textiles Limited,2600000
C L Gupta Exports Limited,2600000
Csl Finance Limited,2600000
Bilakhia Holdings Private Limited,2600000
Bharat Agri Fert & Realty Limited,2600000
Saptagir Camphor Limited,2600000
Alina Private Limited,2600000
Bio-Med Private Limited,2500000
Parekh Integrated Services Private Limited,2500000
Gripwel Fasteners Private Limited,2500000
Cil Nova Petrochemicals Limited,2500000
Secon Private Limited,2500000
Aurangabad Electricals Limited,2500000
Macquarie Finance (India) Private Limited,2500000
Sound Securities Private Limited,2500000
Kc Maritime (India) Limited,2500000
Hst Steels Private Limited,2500000
Bellwether Capital Private Limited,2500000
Beehive Communications Private Limited,2500000
Aquamarine Realty Private Limited,2500000
Iac Electricals Pvt Ltd,2500000
Ubs Securities India Private Limited,2500000
Goodwill Warehousing Private Limited,2500000
Aesthetic Builders Private Limited,2500000
Edelweiss Housing Finance Limited,2500000
Sodexo Svc India Private Limited,2500000
Parle Bisleri Private Limited,2500000
Mps Limited,2500000
Ikea Services India Private Limited,2500000
Hi Tech Grain Processing Private Limited,2500000
Same Deutz-Fahr India Private Limited,2500000
G V G Paper Mills Private Limited,2500000
Wolkem India Limited,2500000
Paragon Property Enterprises Private Limited,2500000
Joy Global (India) Limited,2500000
Angel Broking Private Limited,2500000
Ntpc Tamil Nadu Energy Company Limited,2500000
Green Infra Wind Energy Limited,2500000
K G Petro Chem Ltd,2500000
Pegasus Properties Private Limited,2500000
Adurjee & Bros Private Limited,2500000
Acrysil Limited,2500000
Renew Wind Energy (Karnataka) Private Limited,2500000
Galentic Pharma India Pvt Ltd,2500000
Fortune Marketing Private Limited,2500000
Brintons Carpets Asia Private Limited,2500000
Highway Industries Limited,2500000
Mope Investment Advisors Private Limited,2500000
