,name,CIN,NIC,amount
359,D B Engineering Private Ltd,U74899DL1986PTC026541,,1000000
360,D P Jain And Co Infrastructure Private Limited,U45200MH2004PTC150149,,192270
361,D S Kulkarni Developers Ltd,L45201PN1991PLC063340,45.0,3425000
362,D. E. Shaw India Private Limited,U72200TG1996PTC025388,,5603789
363,D.S.R. Infrastructure Private Limited,U45200TG2007PTC052586,,0
364,Dabwali Transport Company Limited,U60231PB1943PLC003353,,1200000
365,Dai-Ichi Karkaria Limited,L24100MH1960PLC011681,24.0,318000
366,Dakshin Gujarat Vij Company Limited,U40102GJ2003SGC042909,40.0,35000
367,Dalmia Cement East Limited,U45209DL2008PLC175321,45.0,657404
368,Danieli Corus India Private Limited,U74140DL2007FTC170602,,500000
369,Dar Al-Handasah Consultants (Shair & Partners) India Private Limited,U74200PN2007FTC130464,,0
370,Darcl Logistics Limited,U60222DL1986PLC026342,49.0,6351000
371,Dcm Shriram Limited,L74899DL1989PLC034923,74.0,7700000
372,Deccan Mechanical And Chemical Industries Private Limited,U24119MH1969PTC014309,,1000000
373,Dee Development Engineers Limited,U74140HR1988PLC030225,74.0,3891000
374,Deepak Fertilisers And Petrochemicals Corporation,L24121MH1979PLC021360,20.0,1231000
375,Deepkiran Foods Private Limited,U15410GJ1998PTC034391,10.0,0
376,Delhi Msw Solutions Limited,U90001TG2009PLC063708,,0
377,Dell Business Process Solutions India Private Limited,U72900KA2011PTC060769,,2964372
378,Deloitte Consulting India Private Limited,U72900TG2000PTC039976,,209546
379,Deloitte Shared Services India Private Limited,U65990MH1979PTC021763,,2000000
380,Delphi-Tvs Diesel Systems Limited,U24117TN1952PLC005704,20.0,4000000
381,Den Satellite Network Private Limited,U74990MH2008PTC177440,,3010000
382,Desiccant Rotors International Private Limited,U74899DL1984PTC017497,,2648621
383,Desons Holdings And Finance Pvt Ltd,U67120PN1983PTC029447,66.0,1500000
384,Deutsche India Holdings Private Limited,U67120MH2004PTC146800,66.0,300000
385,Deutsche Investments India Private Limited,U65923MH2005PTC153486,,3500000
386,Devi Sea Foods Limited,U15122AP1992PLC094924,,11
